Date,Open,High,Low,Close,Adj Close,Volume,Mean,Max,Min
2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683597,179.953857421875,104487900,0.1601,0.5574,-0.1531
2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,177.66998291015625,99310400,0.1562,0.4404,0.0
2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,172.94398498535156,94537600,0.0355,0.7096,-0.5994
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,170.05699157714844,96904000,0.0514,0.7003,-0.4019
2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,170.22506713867188,86709100,0.3338,0.7351,0.0
2022-01-10,169.0800018310547,172.5,168.1699981689453,172.19000244140625,170.24484252929688,106765600,0.0969,0.6369,-0.34
2022-01-11,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,173.10218811035156,76138300,-0.0258,0.6369,-0.4019
2022-01-12,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,173.5470733642578,74805200,-0.0325,0.5719,-0.296
2022-01-13,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,170.24484252929688,84505800,-0.1441,0.4019,-0.8442
2022-01-14,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,171.11489868164062,80440800,-0.0175,0.4215,-0.3182
2022-01-18,171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,167.88182067871094,90956700,-0.0993,0.204,-0.5859
2022-01-19,170.0,171.0800018310547,165.94000244140625,166.22999572753906,164.35214233398438,94815000,0.0761,0.4019,-0.296
2022-01-20,166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,162.65158081054688,91420500,0.1206,0.7096,0.0
2022-01-21,164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,160.57528686523438,122848900,-0.0173,0.4215,-0.4767
2022-01-24,160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,159.79421997070312,162294600,0.0771,0.4404,-0.3818
2022-01-25,158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,157.97500610351562,115798400,-0.0363,0.5267,-0.4588
2022-01-26,163.5,164.38999938964844,157.82000732421875,159.69000244140625,157.8860321044922,108275300,0.0992,0.5256,-0.6908
2022-01-27,162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,157.42137145996094,121954600,0.0965,0.5178,-0.6908
2022-01-28,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,168.40585327148438,179935700,0.0508,0.5859,-0.4939
2022-01-31,170.16000366210938,175.0,169.50999450683594,174.77999877929688,172.80557250976562,115541600,0.1573,0.5994,0.0
2022-02-01,174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,172.63748168945312,86213900,0.1046,0.6369,-0.3818
2022-02-02,174.75,175.8800048828125,173.3300018310547,175.83999633789062,173.8535919189453,84914300,0.2481,0.6369,-0.4404
2022-02-03,174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,170.94679260253906,89418100,0.1393,0.6486,-0.5829
2022-02-04,171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,170.6597137451172,82465400,-0.0488,0.4939,-0.6633
2022-02-07,172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,169.93707275390625,77251200,0.1873,0.8316,-0.2411
2022-02-08,171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,173.0752410888672,74829200,-0.0205,0.0,-0.1027
